Monte Carlo Load Regulation Results
Formula: |V1 - V2| / 49 mA  (result in mV/A)
V1 window: 1.4 - 1.8 ms  (steady state during pulse)
V2 window: 2.4 - 2.8 ms  (steady state after pulse)

Run    V1 @ 1.5ms (V)     V2 @ 2.5ms (V)     Load Reg (mV/A)
------------------------------------------------------------
1      0.996716           0.999724           61.3805
2      1.003316           1.006354           62.0047
3      0.993801           0.996941           64.0807
4      0.992872           0.995828           60.3328
5      1.002895           1.005985           63.0790
6      1.003761           1.006881           63.6669
7      0.988540           0.991503           60.4772
8      0.991246           0.994294           62.2032
9      0.993809           0.996850           62.0706
10     1.001097           1.004240           64.1490
11     1.003702           1.006871           64.6576
12     1.000747           1.003854           63.4010
13     0.994687           0.997717           61.8226
14     1.007276           1.010338           62.4801
15     0.997016           1.000089           62.7229
16     1.000074           1.003110           61.9573
17     0.997063           1.000197           63.9542
18     0.993769           0.996706           59.9321
19     1.000468           1.003504           61.9555
20     0.994538           0.997742           65.3960
21     0.996673           0.999719           62.1621
22     0.998314           1.001651           68.1009
23     0.988426           0.991420           61.1068
24     0.990250           0.993317           62.5886
25     1.003204           1.006300           63.1902
26     1.002605           1.005700           63.1659
27     1.010435           1.013516           62.8797
28     0.995469           0.998502           61.8890
29     1.002931           1.006038           63.4240
30     0.990979           0.994065           62.9828
31     0.996592           0.999625           61.9065
32     1.000665           1.003704           62.0064
33     1.000010           1.003042           61.8698
34     0.995304           0.998305           61.2283
35     0.993248           0.996352           63.3481
36     0.989310           0.992327           61.5803
37     1.001170           1.004310           64.0769
38     0.997651           1.000666           61.5438
39     0.994633           0.997625           61.0504
40     1.000131           1.003189           62.4018
41     1.002905           1.006017           63.5209
42     1.000420           1.003477           62.3782
43     0.999820           1.002910           63.0568
44     0.995959           0.999104           64.1853
45     0.998455           1.001744           67.1152
46     0.997175           1.000151           60.7160
47     1.000326           1.003347           61.6589
48     1.000431           1.003589           64.4399
49     0.995709           0.998801           63.1135
50     0.989658           0.992677           61.6274
51     1.001971           1.005015           62.1111
52     0.987136           0.990334           65.2568
53     1.008557           1.011669           63.5143
54     1.011206           1.014288           62.9012
55     0.994067           0.997270           65.3702
56     0.998063           1.001135           62.6924
57     1.001447           1.004538           63.0777
58     0.996893           0.999949           62.3597
59     0.999332           1.002367           61.9314
60     0.993017           0.996083           62.5705
61     0.984592           0.987816           65.7806
62     0.997188           1.000209           61.6419
63     0.992897           0.996245           68.3241
64     0.984576           0.987526           60.1902
65     1.001113           1.004187           62.7346
66     0.999001           1.002173           64.7373
67     1.004639           1.007738           63.2552
68     1.004980           1.008009           61.8159
69     0.999293           1.002382           63.0510
70     1.004700           1.007717           61.5597
71     1.000621           1.003763           64.1273
72     0.999480           1.002514           61.9157
73     1.004673           1.007741           62.6179
74     1.004104           1.007352           66.2750
75     0.985989           0.988939           60.2066
76     1.002373           1.005473           63.2615
77     0.992196           0.995238           62.0723
78     1.009734           1.013135           69.4029
79     0.992707           0.995712           61.3269
80     1.000900           1.003962           62.4793
81     0.995939           0.999026           62.9891
82     1.007417           1.010492           62.7365
83     0.994671           0.997694           61.6941
84     1.000510           1.003626           63.5980
85     1.004075           1.007245           64.6974
86     0.993648           0.996845           65.2485
87     1.004961           1.008045           62.9240
88     0.990775           0.993787           61.4655
89     1.004676           1.007773           63.1952
90     0.999468           1.002434           60.5455
91     0.986497           0.989488           61.0363
92     0.996860           0.999838           60.7682
93     1.002058           1.005090           61.8774
94     0.993372           0.996388           61.5496
95     1.009889           1.013112           65.7901
96     0.998289           1.001330           62.0437
97     1.007700           1.010810           63.4699
98     1.002955           1.006016           62.4666
99     1.002774           1.005821           62.1936
100    0.999015           1.002060           62.1326
101    1.001355           1.004423           62.5965

------------------------------------------------------------
Mean                                         62.8675
Std                                          1.7073
Min                                          59.9321
Max                                          69.4029
