Monte Carlo Load Regulation Results
Formula: |V1 - V2| / 49 mA  (result in mV/A)
V1 window: 1.4 - 1.8 ms  (steady state during pulse)
V2 window: 2.4 - 2.8 ms  (steady state after pulse)

Run    V1 @ 1.5ms (V)     V2 @ 2.5ms (V)     Load Reg (mV/A)
------------------------------------------------------------
1      0.994973           0.997985           61.4655
2      0.993199           0.996223           61.7097
3      1.003538           1.006574           61.9698
4      0.994314           0.997375           62.4764
5      1.008815           1.011933           63.6432
6      0.992193           0.995188           61.1114
7      1.001543           1.004626           62.9278
8      1.005775           1.008877           63.2918
9      1.006881           1.009989           63.4317
10     0.993823           0.996824           61.2419
11     0.988674           0.991679           61.3313
12     1.003843           1.006770           59.7319
13     0.994843           0.997813           60.6199
14     0.997971           1.001045           62.7346
15     0.984439           0.987331           59.0267
16     1.004555           1.007527           60.6594
17     1.007372           1.010453           62.8737
18     0.999950           1.002926           60.7391
19     0.997980           1.000897           59.5327
20     0.992329           0.995232           59.2456
21     1.000095           1.003131           61.9446
22     1.003563           1.006491           59.7600
23     1.001561           1.004523           60.4404
24     0.997962           1.000916           60.2763
25     0.989740           0.992709           60.5971
26     0.995054           0.998080           61.7526
27     1.002834           1.005881           62.1887
28     0.992456           0.995388           59.8215
29     0.991578           0.994659           62.8654
30     0.991297           0.994290           61.0906
31     0.989460           0.992461           61.2271
32     1.004525           1.007599           62.7382
33     0.988966           0.991948           60.8714
34     1.007666           1.010705           62.0200
35     0.991044           0.993951           59.3390
36     1.003896           1.006895           61.1932
37     1.005730           1.008683           60.2640
38     0.994573           0.997633           62.4606
39     0.997816           1.000768           60.2362
40     0.990188           0.993110           59.6314
41     0.996176           0.999319           64.1552
42     0.993465           0.996354           58.9722
43     0.983203           0.986154           60.2228
44     1.008274           1.011337           62.5135
45     0.997288           1.000276           60.9667
46     0.995243           0.998193           60.1858
47     0.995120           0.998164           62.1118
48     0.995105           0.998104           61.2094
49     0.992142           0.995081           59.9821
50     1.001430           1.004537           63.4005
51     0.998055           1.001237           64.9227
52     1.002613           1.005473           58.3523
53     0.992791           0.995823           61.8720
54     1.003709           1.006676           60.5438
55     1.002346           1.005396           62.2449
56     0.996637           0.999707           62.6458
57     0.990097           0.992987           58.9918
58     1.007128           1.010178           62.2449
59     0.990071           0.992960           58.9638
60     1.004312           1.007442           63.8749
61     0.995002           0.997976           60.6936
62     1.010865           1.014035           64.6905
63     0.991742           0.994830           63.0262
64     0.996631           0.999654           61.6912
65     0.998802           1.001852           62.2443
66     1.005987           1.008849           58.4133
67     0.998719           1.001536           57.4939
68     0.982183           0.985166           60.8711
69     0.990012           0.993050           62.0086
70     0.981247           0.984190           60.0577
71     0.995105           0.998107           61.2533
72     0.997816           1.000812           61.1427
73     1.011095           1.014123           61.8011
74     0.983648           0.986521           58.6289
75     1.000481           1.003409           59.7547
76     0.987266           0.990186           59.5914
77     1.003732           1.006750           61.6077
78     1.002260           1.005404           64.1777
79     0.991718           0.994597           58.7543
80     0.991827           0.994734           59.3097
81     1.004237           1.007135           59.1415
82     0.992262           0.995168           59.3161
83     1.004738           1.007721           60.8679
84     0.991006           0.994049           62.0837
85     0.990621           0.993459           57.9027
86     0.992763           0.995733           60.6175
87     0.994702           0.997651           60.1997
88     0.995600           0.998591           61.0380
89     0.993821           0.996877           62.3712
90     0.996039           0.998967           59.7476
91     0.994775           0.997780           61.3404
92     1.005308           1.008379           62.6797
93     0.993512           0.996492           60.8133
94     0.987533           0.990499           60.5352
95     0.998208           1.001054           58.0882
96     0.997159           1.000041           58.8207
97     1.000482           1.003562           62.8610
98     0.998360           1.001389           61.8141
99     1.000499           1.003557           62.4064
100    0.988573           0.991515           60.0392
101    1.002319           1.005430           63.4982

------------------------------------------------------------
Mean                                         61.1114
Std                                          1.5917
Min                                          57.4939
Max                                          64.9227
