Monte Carlo Vout vs Vin Results
Vout sampled at Vin = 1.8 V

Run    Vout @ Vin=1.8V (V)
------------------------------
1      1.005654
2      0.999709
3      0.992920
4      0.983608
5      1.000628
6      1.005884
7      0.996368
8      0.991228
9      1.003143
10     1.009343
11     0.999290
12     1.006755
13     1.000758
14     0.995666
15     0.995700
16     0.999151
17     1.000499
18     1.001884
19     0.983920
20     1.003332
21     1.001209
22     1.009191
23     0.996212
24     0.992588
25     1.008736
26     1.004433
27     1.002265
28     0.985450
29     1.003670
30     1.001833
31     1.004512
32     0.995424
33     0.996051
34     0.993791
35     0.998136
36     0.995781
37     0.990562
38     0.995712
39     1.006365
40     0.994448
41     1.001267
42     0.989683
43     0.994204
44     0.996707
45     0.993945
46     0.993786
47     0.995246
48     1.003331
49     0.989255
50     1.009967
51     1.007042
52     0.990594
53     1.002749
54     0.997228
55     0.998910
56     0.993125
57     0.993860
58     1.003692
59     0.991990
60     0.997801
61     0.997512
62     0.992491
63     1.006985
64     1.001365
65     0.996361
66     1.000844
67     0.999752
68     0.996588
69     0.994965
70     0.991462
71     0.991111
72     0.990560
73     0.990359
74     1.004310
75     0.990152
76     1.001605
77     0.986792
78     0.992468
79     1.000733
80     1.005997
81     1.006854
82     0.995089
83     0.999798
84     1.000738
85     0.999054
86     0.998213
87     0.993080
88     1.007132
89     1.005269
90     0.997826
91     0.990252
92     0.999302
93     1.004107
94     0.998949
95     1.005117
96     0.995180
97     1.009315
98     1.005150
99     0.998083
100    0.992200
101    1.005526

------------------------------
Mean   0.998365
Std    0.006054
Min    0.983608
Max    1.009967
